,id,keywords
51,346364,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 1415, 'name': 'small town'}, {'id': 3199, 'name': 'clown'}, {'id': 6733, 'name': 'bullying'}, {'id': 8303, 'name': 'abandoned house'}, {'id': 9826, 'name': 'murder'}, {'id': 9856, 'name': 'flashback'}, {'id': 9903, 'name': 'balloon'}, {'id': 9927, 'name': 'maine'}, {'id': 10873, 'name': 'school'}, {'id': 13031, 'name': 'creature'}, {'id': 13073, 'name': 'fear'}, {'id': 13088, 'name': 'summer'}, {'id': 15127, 'name': 'killer'}, {'id': 156091, 'name': 'missing person'}, {'id': 163764, 'name': 'death of brother'}, {'id': 172784, 'name': 'well'}, {'id': 208349, 'name': 'child'}, {'id': 241827, 'name': 'demonic'}, {'id': 245450, 'name': 'town history'}]"
52,948713,"[{'id': 1721, 'name': 'fight'}, {'id': 4152, 'name': 'kingdom'}, {'id': 4933, 'name': 'battle for power'}, {'id': 5515, 'name': 'heir to the throne'}, {'id': 5895, 'name': 'viking'}, {'id': 9994, 'name': 'crown'}, {'id': 13084, 'name': 'king'}, {'id': 14643, 'name': 'battle'}, {'id': 180059, 'name': 'death of king'}, {'id': 208951, 'name': 'invaders'}, {'id': 223786, 'name': 'northumbria'}, {'id': 235499, 'name': '10th century'}, {'id': 253463, 'name': 'heirs'}]"
53,1040148,"[{'id': 5938, 'name': 'mermaid'}, {'id': 6270, 'name': 'high school'}, {'id': 161171, 'name': 'kraken'}, {'id': 204058, 'name': 'fitting in'}, {'id': 296608, 'name': 'teenager'}]"
54,493529,"[{'id': 3200, 'name': 'platonic love'}, {'id': 3882, 'name': 'gang of thieves'}, {'id': 12554, 'name': 'dragon'}, {'id': 18360, 'name': 'role playing game'}, {'id': 41645, 'name': 'based on video game'}, {'id': 157931, 'name': 'dungeons and dragons'}, {'id': 177438, 'name': 'heist gone wrong'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 240303, 'name': 'father daughter relationship'}, {'id': 299786, 'name': 'spell & sorcery'}, {'id': 314844, 'name': 'wizardry'}]"
55,505642,"[{'id': 697, 'name': 'loss of loved one'}, {'id': 1701, 'name': 'hero'}, {'id': 4833, 'name': 'royal family'}, {'id': 9663, 'name': 'sequel'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 9920, 'name': 'royalty'}, {'id': 14785, 'name': 'underwater'}, {'id': 41282, 'name': 'political intrigue\xa0'}, {'id': 146946, 'name': 'death in family'}, {'id': 159103, 'name': 'mourning'}, {'id': 163764, 'name': 'death of brother'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 180059, 'name': 'death of king'}, {'id': 180547, 'name': 'marvel cinematic universe (mcu)'}, {'id': 195394, 'name': 'hidden civilization'}, {'id': 233184, 'name': 'yucatan'}, {'id': 317138, 'name': 'mayans'}]"
56,667216,"[{'id': 402, 'name': 'clone'}, {'id': 1326, 'name': 'infidelity'}, {'id': 1664, 'name': 'eroticism'}, {'id': 1817, 'name': 'orgy'}, {'id': 2041, 'name': 'island'}, {'id': 3298, 'name': 'hallucination'}, {'id': 5914, 'name': ""writer's block""}, {'id': 6876, 'name': 'vacation'}, {'id': 9887, 'name': 'surrealism'}, {'id': 10131, 'name': 'interracial relationship'}, {'id': 11483, 'name': 'drug trip'}, {'id': 13129, 'name': 'execution'}, {'id': 33740, 'name': 'humiliation'}, {'id': 283085, 'name': 'body horror'}, {'id': 316148, 'name': 'nepotism'}]"
57,91314,"[{'id': 5699, 'name': 'music video'}, {'id': 9663, 'name': 'sequel'}, {'id': 9951, 'name': 'alien'}, {'id': 10542, 'name': 'based on toy'}, {'id': 10891, 'name': 'giant robot'}, {'id': 14544, 'name': 'robot'}]"
58,804150,"[{'id': 2150, 'name': 'cocaine'}, {'id': 2495, 'name': 'georgia'}, {'id': 5160, 'name': 'animal attack'}, {'id': 9672, 'name': 'based on true story'}, {'id': 10022, 'name': 'rampage'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 187056, 'name': 'woman director'}, {'id': 259594, 'name': 'black bear'}, {'id': 266880, 'name': 'apex predator'}]"
59,73723,"[{'id': 3352, 'name': 'tree'}, {'id': 5308, 'name': 'aftermath'}, {'id': 5683, 'name': 'family business '}, {'id': 10045, 'name': 'tragic villain'}, {'id': 10594, 'name': 'money'}, {'id': 10907, 'name': 'consumerism'}, {'id': 13152, 'name': 'air'}, {'id': 15101, 'name': ""based on children's book""}, {'id': 155235, 'name': 'animal killing'}, {'id': 182127, 'name': 'walled city'}, {'id': 182135, 'name': 'reforestation'}, {'id': 182136, 'name': 'tree cutting'}, {'id': 208339, 'name': 'mad family'}, {'id': 210505, 'name': 'clothes factory'}, {'id': 210783, 'name': 'meme'}, {'id': 212797, 'name': 'simpler life'}, {'id': 229296, 'name': 'social'}, {'id': 256570, 'name': 'abused child'}, {'id': 317421, 'name': 'singing animals'}, {'id': 317422, 'name': 'fish trio'}, {'id': 317423, 'name': 'biggering'}, {'id': 317424, 'name': 'unless'}]"
60,536554,"[{'id': 310, 'name': 'artificial intelligence'}, {'id': 9707, 'name': 'evil doll'}, {'id': 12335, 'name': 'aunt niece relationship'}, {'id': 13014, 'name': 'orphan'}, {'id': 13063, 'name': 'car accident'}, {'id': 13140, 'name': 'niece'}, {'id': 14544, 'name': 'robot'}, {'id': 14857, 'name': 'juvenile delinquent'}, {'id': 33630, 'name': 'doll'}, {'id': 33646, 'name': 'information leak'}, {'id': 156175, 'name': 'dead dog'}, {'id': 163957, 'name': 'nosy neighbor'}, {'id': 164162, 'name': 'hit by a car'}, {'id': 168490, 'name': 'dead parents'}, {'id': 183239, 'name': 'attacked by a dog'}, {'id': 212661, 'name': 'creepy doll'}, {'id': 240764, 'name': 'possessed doll'}]"
61,675445,"[{'id': 6513, 'name': 'cartoon'}, {'id': 15162, 'name': 'dog'}, {'id': 18165, 'name': 'animal'}, {'id': 286758, 'name': 'kids'}]"
62,1016121,[]
63,646389,"[{'id': 3203, 'name': 'pilot'}, {'id': 3800, 'name': 'airplane'}, {'id': 6895, 'name': 'philippines'}, {'id': 170217, 'name': 'held hostage'}, {'id': 249530, 'name': 'plane crash'}]"
64,346698,"[{'id': 10542, 'name': 'based on toy'}]"
65,420808,"[{'id': 2041, 'name': 'island'}, {'id': 2343, 'name': 'magic'}, {'id': 2710, 'name': 'fairy'}, {'id': 3185, 'name': 'crocodile'}, {'id': 3205, 'name': 'fairy tale'}, {'id': 4332, 'name': 'peter pan'}, {'id': 4978, 'name': 'immortality'}, {'id': 9714, 'name': 'remake'}, {'id': 12988, 'name': 'pirate'}, {'id': 15101, 'name': ""based on children's book""}, {'id': 170362, 'name': 'fantasy world'}, {'id': 188054, 'name': 'giant crocodile'}, {'id': 195325, 'name': 'crocodile attack'}, {'id': 245230, 'name': 'live action remake'}]"
